ticker,exchange,benchmark,major,sub
AAOI,NASDAQ,XLK,科技硬件,光通信
ACLS,NASDAQ,SOXX,半导体,半导体
ADI,NASDAQ,SOXX,半导体,半导体
AEHR,NASDAQ,SOXX,半导体,半导体材料
AEVA,NASDAQ,XLK,科技硬件,电子元件
AKAM,NASDAQ,IGV,软件,软件
ALGM,NASDAQ,SOXX,半导体,半导体
AMKR,NASDAQ,SOXX,半导体,半导体材料
ANET,NYSE,XLK,科技硬件,硬件
APH,NYSE,XLK,科技硬件,光通信
APLD,NASDAQ,DTCR,数据中心,数据中心
ARM,NASDAQ,SOXX,半导体,半导体
ARQQ,NASDAQ,SOXX,半导体,半导体
ASX,NYSE,SOXX,半导体,半导体
AVT,NASDAQ,XLK,科技硬件,电子元器
AXTI,NASDAQ,SOXX,半导体,半导体
BB,NYSE,IGV,软件,软件
BDC,NYSE,XLK,科技硬件,网络基础
BELFB,NASDAQ,XLK,科技硬件,电子元件
BHE,NYSE,XLK,科技硬件,解决方案
CAMT,NASDAQ,SOXX,半导体,半导体
CDW,NASDAQ,XLK,科技硬件,IT
CHRN,NASDAQ,DTCR,数据中心,数据中心
CIEN,NYSE,XLK,科技硬件,光通信
CIFR,NASDAQ,DTCR,数据中心,数据中心
CLS,NYSE,XLK,科技硬件,电子元件
CLSK,NASDAQ,DTCR,数据中心,数据中心
COHR,NYSE,XLK,科技硬件,光通信
CORZ,NASDAQ,DTCR,数据中心,数据中心
CRDO,NASDAQ,SOXX,半导体,半导体
CRUS,NASDAQ,SOXX,半导体,半导体
CRWD,NASDAQ,IGV,软件,软件
CRWV,NASDAQ,DTCR,数据中心,数据中心
CSCO,NASDAQ,XLK,科技硬件,通讯
DBD,NYSE,XLK,科技硬件,硬件
DELL,NYSE,XLK,科技硬件,硬件
EXTR,NASDAQ,XLK,科技硬件,网络
FLEX,NASDAQ,XLK,科技硬件,电子元件
FN,NYSE,XLK,科技硬件,光通信
FORM,NASDAQ,SOXX,半导体,半导体材料
GFS,NASDAQ,SOXX,半导体,半导体
GLW,NYSE,XLK,科技硬件,电子元件
HIMX,NASDAQ,SOXX,半导体,半导体
HPE,NYSE,XLK,科技硬件,IT
HUT,NASDAQ,DTCR,数据中心,数据中心
IBM,NYSE,XLK,科技硬件,IT
INFQ,NYSE,QTUM,科技硬件,量子计算
INGM,NYSE,XLK,科技硬件,IT
INTC,NASDAQ,SOXX,半导体,半导体
IONQ,NYSE,QTUM,科技硬件,量子计算
IPGP,NASDAQ,XLK,科技硬件,光电
IREN,NASDAQ,DTCR,数据中心,数据中心
JBL,NYSE,XLK,科技硬件,电子元件
KEYS,NYSE,XLK,科技硬件,科技仪器
KLAC,NASDAQ,SOXX,半导体,半导体
KLIC,NASDAQ,SOXX,半导体,半导体
LAES,NASDAQ,SOXX,半导体,半导体
LITE,NASDAQ,XLK,科技硬件,光通信
LOGI,NASDAQ,XLK,科技硬件,硬件
LSCC,NASDAQ,SOXX,半导体,半导体
LUMN,NYSE,XLC,通讯服务,电信
LWLG,NASDAQ,XLK,科技硬件,电光聚合物材料
MARA,NASDAQ,DTCR,数据中心,数据中心
MCHP,NASDAQ,SOXX,半导体,半导体
MKSI,NASDAQ,SOXX,半导体,半导体设备
MRVL,NASDAQ,SOXX,半导体,半导体
MU,NASDAQ,SOXX,半导体,半导体
MXL,NASDAQ,SOXX,半导体,半导体
NBIS,NASDAQ,DTCR,数据中心,数据中心
NVTS,NASDAQ,SOXX,半导体,半导体
NXPI,NASDAQ,SOXX,半导体,半导体
ON,NASDAQ,SOXX,半导体,半导体
ORCL,NYSE,IGV,软件,软件
P,NYSE,XLI,工业,污水处理
PENG,NASDAQ,DTCR,数据中心,数据中心
PLAB,NASDAQ,SOXX,半导体,半导体材料
POET,NASDAQ,SOXX,半导体,半导体
