date,ok,total,breadth
2021-12-17,24,26,0.9231
2021-12-20,24,26,0.9231
2021-12-21,24,26,0.9231
2021-12-22,24,26,0.9231
2021-12-23,24,26,0.9231
2021-12-27,24,26,0.9231
2021-12-28,24,26,0.9231
2021-12-29,24,26,0.9231
2021-12-30,24,26,0.9231
2021-12-31,24,26,0.9231
2022-01-03,24,26,0.9231
2022-01-04,24,26,0.9231
2022-01-05,21,26,0.8077
2022-01-06,21,26,0.8077
2022-01-07,21,26,0.8077
2022-01-10,21,26,0.8077
2022-01-11,21,26,0.8077
2022-01-12,21,26,0.8077
2022-01-13,21,26,0.8077
2022-01-14,21,26,0.8077
2022-01-18,9,26,0.3462
2022-01-19,0,26,0.0
2022-01-20,0,26,0.0
2022-01-21,0,26,0.0
2022-01-24,0,26,0.0
2022-01-25,0,26,0.0
2022-01-26,0,26,0.0
2022-01-27,0,27,0.0
2022-01-28,0,27,0.0
2022-01-31,0,27,0.0
2022-02-01,0,27,0.0
2022-02-02,12,27,0.4444
2022-02-03,0,27,0.0
2022-02-04,0,27,0.0
2022-02-07,0,27,0.0
2022-02-08,0,27,0.0
2022-02-09,22,27,0.8148
2022-02-10,0,27,0.0
2022-02-11,0,27,0.0
2022-02-14,0,27,0.0
2022-02-15,0,27,0.0
2022-02-16,0,27,0.0
2022-02-17,0,27,0.0
2022-02-18,0,27,0.0
2022-02-22,0,27,0.0
2022-02-23,0,27,0.0
2022-02-24,0,27,0.0
2022-02-25,0,27,0.0
2022-02-28,0,27,0.0
2022-03-01,0,27,0.0
2022-03-02,0,27,0.0
2022-03-03,0,27,0.0
2022-03-04,0,27,0.0
2022-03-07,0,27,0.0
2022-03-08,0,27,0.0
2022-03-09,0,27,0.0
2022-03-10,0,27,0.0
2022-03-11,0,27,0.0
2022-03-14,0,27,0.0
2022-03-15,0,27,0.0
2022-03-16,0,27,0.0
2022-03-17,0,27,0.0
2022-03-18,0,27,0.0
2022-03-21,0,27,0.0
2022-03-22,0,27,0.0
2022-03-23,0,27,0.0
2022-03-24,0,27,0.0
2022-03-25,0,27,0.0
2022-03-28,0,27,0.0
2022-03-29,12,27,0.4444
2022-03-30,0,27,0.0
2022-03-31,0,27,0.0
2022-04-01,0,27,0.0
2022-04-04,0,27,0.0
2022-04-05,0,27,0.0
2022-04-06,0,27,0.0
2022-04-07,0,27,0.0
