mode,trigger,fill,stop_ref,regime,n,win_pct,avgR,medR,pf,totalR,avg_held,avg_r0_pct,R_per_1000_slot_days,peakR,give_back_pct
A_close_close,close,close,same,all,4836,37.2,0.293,-0.411,1.568,1417.3,31.1,10.78,9.43,9102.7,84.4
A_close_close,close,close,same,bull,3765,37.3,0.354,-0.422,1.687,1334.5,31.5,10.71,11.25,7434.6,82.1
A_close_close,close,close,same,neutral,523,36.9,0.136,-0.368,1.281,70.9,28.9,11.03,4.7,818.3,91.3
A_close_close,close,close,same,bear,548,36.3,0.022,-0.379,1.039,11.9,30.1,11.09,0.72,849.8,98.6
B_close_nextopen,close,nextopen,same,all,4829,37.9,0.303,-0.381,1.582,1465.1,31.1,10.79,9.76,9098.6,83.9
B_close_nextopen,close,nextopen,same,bull,3759,37.9,0.367,-0.391,1.706,1380.2,31.5,10.71,11.65,7431.0,81.4
B_close_nextopen,close,nextopen,same,neutral,522,38.3,0.154,-0.368,1.324,80.4,28.9,11.04,5.34,817.8,90.2
B_close_nextopen,close,nextopen,same,bear,548,37.4,0.008,-0.344,1.014,4.5,30.1,11.09,0.27,849.8,99.5
C_close_nextopen_prev,close,nextopen,prev,all,4812,37.9,0.366,-0.385,1.697,1763.5,31.3,10.79,11.72,9660.5,81.7
C_close_nextopen_prev,close,nextopen,prev,bull,3745,37.9,0.45,-0.398,1.855,1684.3,31.8,10.71,14.15,7996.0,78.9
C_close_nextopen_prev,close,nextopen,prev,neutral,521,38.4,0.153,-0.363,1.321,79.8,29.0,11.05,5.29,819.0,90.3
C_close_nextopen_prev,close,nextopen,prev,bear,546,37.4,-0.001,-0.347,0.998,-0.6,30.1,11.07,-0.03,845.5,100.1
D_intraday_stop,low,stop,prev,all,5333,36.0,0.204,-0.373,1.491,1090.4,24.8,11.02,8.26,7694.8,85.8
D_intraday_stop,low,stop,prev,bull,4153,36.0,0.24,-0.387,1.57,994.9,24.9,10.97,9.6,6260.5,84.1
D_intraday_stop,low,stop,prev,neutral,574,37.1,0.153,-0.299,1.405,87.8,24.2,11.09,6.33,744.6,88.2
D_intraday_stop,low,stop,prev,bear,606,35.3,0.013,-0.363,1.03,7.6,23.9,11.36,0.53,689.8,98.9
E_close_close_prev,close,close,prev,all,4819,37.2,0.354,-0.412,1.681,1706.2,31.3,10.78,11.32,9664.7,82.3
E_close_close_prev,close,close,prev,bull,3751,37.4,0.434,-0.423,1.835,1627.1,31.8,10.7,13.65,7999.6,79.7
E_close_close_prev,close,close,prev,neutral,522,37.0,0.133,-0.368,1.274,69.4,29.0,11.05,4.59,819.5,91.5
E_close_close_prev,close,close,prev,bear,546,36.4,0.018,-0.379,1.032,9.7,30.1,11.07,0.59,845.5,98.9
