rule,filter,slots,signals,taken,take_pct,totalR,maxDD_R,R_per_DD,maxDD_pct_at_025,dd_date,max_open,worst_loss_streak,avg_held
0_prod,none,22,4924,714,14.5,253.6,90.1,2.81,22.5,2025-05-01,22,17,32.8
0_prod,strong,22,1307,575,44.0,249.3,77.6,3.21,19.4,2023-11-08,22,18,34.1
0_prod,strong+R0>=8,22,1107,516,46.6,270.9,58.2,4.65,14.6,2025-04-08,22,19,37.3
1_cand_2.0_hc55_5.0,none,22,4211,532,12.6,306.3,162.9,1.88,40.7,2025-04-08,22,31,44.3
1_cand_2.0_hc55_5.0,strong,22,1155,468,40.5,302.4,204.6,1.48,51.2,2025-05-01,22,22,43.7
1_cand_2.0_hc55_5.0,strong+R0>=8,22,1155,468,40.5,302.4,204.6,1.48,51.2,2025-05-01,22,22,43.7
2_init1.8_hc55_5.0,none,22,4333,533,12.3,235.1,111.1,2.12,27.8,2025-04-08,22,32,44.1
2_init1.8_hc55_5.0,strong,22,1197,496,41.4,367.7,170.2,2.16,42.6,2025-05-01,22,25,41.1
2_init1.8_hc55_5.0,strong+R0>=8,22,1116,499,44.7,327.5,145.1,2.26,36.3,2025-05-01,22,25,40.1
3_init2.2_hc55_5.0,none,22,4116,502,12.2,282.0,147.4,1.91,36.8,2025-04-08,22,28,47.1
3_init2.2_hc55_5.0,strong,22,1132,438,38.7,255.7,85.1,3.01,21.3,2025-05-01,22,21,47.0
3_init2.2_hc55_5.0,strong+R0>=8,22,1132,438,38.7,255.7,85.1,3.01,21.3,2025-05-01,22,21,47.0
4_cand_2.0_entry_5.0,none,22,4214,529,12.6,313.5,159.8,1.96,39.9,2025-04-08,22,31,44.4
4_cand_2.0_entry_5.0,strong,22,1154,466,40.4,304.6,193.1,1.58,48.3,2025-05-01,22,22,43.7
4_cand_2.0_entry_5.0,strong+R0>=8,22,1154,466,40.4,304.6,193.1,1.58,48.3,2025-05-01,22,22,43.7
5_hc55_k4.5,none,22,4055,469,11.6,313.4,111.7,2.8,27.9,2026-08-06,22,20,50.6
5_hc55_k4.5,strong,22,1129,442,39.1,311.8,130.9,2.38,32.7,2025-04-08,22,20,46.1
5_hc55_k4.5,strong+R0>=8,22,1055,423,40.1,348.8,128.7,2.71,32.2,2025-04-08,22,20,48.1
