rule,anchor,k_trail,k_init,regime,n,win_pct,avgR,medR,pf,pf_lo,pf_hi,pf_ci_width,totalR,avg_held,avg_r0_pct,R_per_1000_slot_days,peakR,give_back_pct
0_prod,hc55,step,=trail,all,4812,37.9,0.366,-0.385,1.697,1.447,2.094,0.647,1763.5,31.3,10.79,11.72,9660.5,81.7
1_cand_2.0_hc55_5.0,hc55,5.0,2.0,all,4070,31.9,0.756,-0.866,2.033,1.739,2.375,0.636,3076.7,45.5,7.53,16.63,14261.9,78.4
2_init1.8_hc55_5.0,hc55,5.0,1.8,all,4198,30.1,0.777,-0.894,1.998,1.712,2.327,0.615,3263.9,42.8,6.84,18.15,15423.1,78.8
3_init2.2_hc55_5.0,hc55,5.0,2.2,all,3966,33.2,0.724,-0.823,2.044,1.763,2.386,0.623,2871.6,47.8,8.23,15.16,13194.0,78.2
4_cand_2.0_entry_5.0,entry,5.0,2.0,all,4074,32.3,0.758,-0.873,2.036,1.742,2.384,0.641,3089.5,45.3,7.54,16.73,14212.1,78.3
5_hc55_k4.5,hc55,4.5,=trail,all,3897,38.0,0.458,-0.38,1.985,1.675,2.437,0.762,1785.8,49.3,14.02,9.29,8262.9,78.4
0_prod,hc55,step,=trail,bull,3745,37.9,0.45,-0.398,1.855,1.542,2.36,0.818,1684.3,31.8,10.71,14.15,7996.0,78.9
1_cand_2.0_hc55_5.0,hc55,5.0,2.0,bull,3139,31.8,0.871,-0.869,2.188,1.87,2.633,0.763,2733.8,45.0,7.45,19.37,11751.5,76.7
2_init1.8_hc55_5.0,hc55,5.0,1.8,bull,3232,29.9,0.901,-0.896,2.156,1.84,2.586,0.745,2912.6,42.3,6.77,21.32,12686.8,77.0
3_init2.2_hc55_5.0,hc55,5.0,2.2,bull,3057,33.2,0.836,-0.826,2.204,1.875,2.628,0.753,2555.3,47.5,8.13,17.61,10886.1,76.5
4_cand_2.0_entry_5.0,entry,5.0,2.0,bull,3140,32.3,0.887,-0.876,2.212,1.89,2.654,0.764,2784.0,44.8,7.46,19.77,11752.6,76.3
5_hc55_k4.5,hc55,4.5,=trail,bull,3007,38.9,0.547,-0.383,2.179,1.803,2.766,0.963,1644.6,50.0,13.91,10.94,6866.9,76.1
0_prod,hc55,step,=trail,neutral,521,38.4,0.153,-0.363,1.321,0.979,1.764,0.785,79.8,29.0,11.05,5.29,819.0,90.3
1_cand_2.0_hc55_5.0,hc55,5.0,2.0,neutral,456,32.5,0.684,-0.871,1.976,1.381,2.677,1.296,311.8,48.2,7.75,14.18,1419.7,78.0
2_init1.8_hc55_5.0,hc55,5.0,1.8,neutral,472,31.1,0.661,-0.895,1.897,1.361,2.574,1.213,312.2,45.9,7.04,14.4,1512.7,79.4
3_init2.2_hc55_5.0,hc55,5.0,2.2,neutral,444,33.1,0.665,-0.837,2.007,1.411,2.739,1.328,295.3,49.5,8.47,13.42,1309.3,77.4
4_cand_2.0_entry_5.0,entry,5.0,2.0,neutral,456,32.2,0.601,-0.899,1.85,1.359,2.49,1.132,273.9,48.4,7.76,12.42,1360.9,79.9
5_hc55_k4.5,hc55,4.5,=trail,neutral,436,35.3,0.262,-0.374,1.58,1.094,2.225,1.131,114.0,46.2,14.41,5.67,726.6,84.3
0_prod,hc55,step,=trail,bear,546,37.4,-0.001,-0.347,0.998,0.748,1.286,0.539,-0.6,30.1,11.07,-0.03,845.5,100.1
1_cand_2.0_hc55_5.0,hc55,5.0,2.0,bear,475,32.0,0.066,-0.823,1.087,0.814,1.408,0.595,31.1,45.9,7.87,1.43,1090.7,97.1
2_init1.8_hc55_5.0,hc55,5.0,1.8,bear,494,30.4,0.079,-0.857,1.098,0.817,1.413,0.596,39.2,43.7,7.12,1.81,1223.6,96.8
3_init2.2_hc55_5.0,hc55,5.0,2.2,bear,465,32.9,0.045,-0.789,1.063,0.818,1.39,0.572,21.1,47.8,8.61,0.95,998.5,97.9
4_cand_2.0_entry_5.0,entry,5.0,2.0,bear,478,32.4,0.066,-0.853,1.087,0.811,1.403,0.592,31.5,45.7,7.87,1.44,1098.6,97.1
5_hc55_k4.5,hc55,4.5,=trail,bear,454,34.6,0.06,-0.388,1.122,0.823,1.479,0.656,27.1,47.8,14.34,1.25,669.4,95.9
