ticker,signal_date,exit_date,closed,entry,exit,r0,R,move_pct,peak_pct,peak_R,held,r0_pct,er22,er55,fresh,dd_pct,hi_age,atr_pct,dev,selfvol,tier,mae_R,mae_low_R,mae_atr,mae_low_atr,breadth,regime
AVGO,2021-12-22,2022-01-07,1,65.52,61.915,7.6113,-0.474,-5.5,2.91,0.251,11,11.617,0.34122452616568466,0.4063082267127383,0.0,0.0,1,2.794,3.490290209915597,0.42828235149531846,mid,-0.474,-0.483,1.969,2.007,0.6447,bull
HCC,2021-12-22,2022-04-04,1,25.78,35.46,1.9668,4.922,37.55,65.83,8.628,70,7.629,0.34657838689417303,0.0726399491796906,2.372,10.12,55,4.644,2.8389398147515204,-0.002804458497130402,strong,-0.31,-0.539,0.51,0.885,0.6447,bull
HWKN,2021-12-22,2022-04-07,1,38.73,42.47,5.1665,0.724,9.66,22.28,1.67,73,13.34,0.2676694450873982,0.06309366897161776,0.189,0.65,47,3.417,2.102809774470776,0.17897529031795334,strong,-0.422,-0.556,1.647,2.169,0.6447,bull
IMOS,2021-12-22,2022-01-10,1,34.68,33.26,1.9722,-0.72,-4.09,3.03,0.532,12,5.687,0.06863601277840067,0.037959625983243164,1.28,2.92,31,2.32,1.9877456775609363,-0.2189690377956378,mid,-0.72,-0.974,1.765,2.386,0.6447,bull
NRG,2021-12-22,2022-01-18,1,42.07,40.26,4.34,-0.417,-4.3,2.4,0.233,17,10.316,0.5034837323919326,0.03903898629076171,0.384,1.05,49,2.727,3.2440379852161287,0.0732291130088365,strong,-0.417,-0.493,1.578,1.865,0.6447,bull
SANM,2021-12-22,2022-01-11,1,40.01,40.24,1.0097,0.228,0.57,6.2,2.456,13,2.524,0.1171804971073826,0.01308649452189713,3.255,8.43,32,2.795,1.4861778431976833,0.0856326431503569,weak,0.0,-0.069,0.0,0.063,0.6447,bull
ANET,2021-12-23,2022-01-07,1,35.4625,32.37,4.7741,-0.648,-8.72,3.52,0.261,10,13.462,0.23043267318061186,0.4170503233701307,0.0,0.0,1,3.28,2.7518043077871406,0.31084155921539414,mid,-0.648,-0.651,2.659,2.672,0.7553,bull
AVT,2021-12-23,2022-01-21,1,40.25,39.17,3.6289,-0.298,-2.68,5.09,0.565,19,9.016,0.0776092148968585,0.09919572847358471,0.661,1.69,33,2.554,1.9513825599649341,0.07224918306528139,mid,-0.298,-0.383,1.051,1.352,0.7553,bull
AXTI,2021-12-23,2022-01-19,1,8.8,7.81,1.3707,-0.722,-11.25,3.98,0.255,17,15.576,0.02783727746668216,0.09456739149258396,1.417,6.76,32,5.052,1.3034268802306583,0.016995333333422735,mid,-0.722,-0.722,2.227,2.227,0.7553,bull
BHE,2021-12-23,2022-01-19,1,26.43,25.46,2.1254,-0.456,-3.67,5.41,0.673,17,8.041,0.05701760073081577,0.01871517785043564,1.345,3.77,54,2.869,1.913152100110166,0.10985181074437556,mid,-0.456,-0.508,1.279,1.424,0.7553,bull
CDW,2021-12-23,2022-01-13,1,202.76,194.05,23.2752,-0.374,-4.3,2.65,0.231,14,11.479,0.07966966579642981,0.19673432561956522,0.0,0.0,20,2.758,1.7760937501830267,0.21022365075135507,mid,-0.374,-0.45,1.558,1.872,0.7553,bull
CSCO,2021-12-23,2022-01-05,1,62.28,60.28,4.8204,-0.415,-3.21,2.7,0.349,8,7.74,0.4643288923863352,0.24674540512679177,0.0,0.0,1,2.042,3.4795414554768724,0.12952920348312125,mid,-0.415,-0.421,1.572,1.596,0.7553,bull
HPE,2021-12-23,2022-01-21,1,15.76,16.14,1.4368,0.264,2.41,11.42,1.253,19,9.117,0.18929258485972958,0.09349961526059651,0.835,2.26,29,2.737,1.833734408869513,0.07847134938663403,mid,0.0,-0.042,0.0,0.139,0.7553,bull
IBKR,2021-12-23,2022-01-13,1,20.0,18.9175,2.223,-0.487,-5.41,1.8,0.162,14,11.115,0.14264763318012988,0.20611851147749707,0.0,0.0,1,2.662,1.7863909256204307,0.16774488053248748,weak,-0.487,-0.557,2.033,2.325,0.7553,bull
MKSI,2021-12-23,2022-01-21,1,169.16,158.52,23.1338,-0.46,-6.29,6.82,0.498,19,13.676,0.11760477053266101,0.19909446818546772,0.032,0.11,26,3.364,1.7469081025145123,0.23300550618917537,mid,-0.46,-0.474,1.87,1.928,0.7553,bull
MOS,2021-12-23,2022-04-25,1,39.18,63.61,1.9365,12.616,62.35,99.46,20.124,83,4.943,0.18211702365387736,0.02084391489909671,2.691,8.83,45,3.556,2.4258311010103464,0.04628760828139389,mid,-0.093,-1.084,0.129,1.507,0.7553,bull
NTR,2021-12-23,2022-01-05,1,74.99,69.94,8.6022,-0.587,-6.73,2.07,0.18,8,11.471,0.24177746521760213,0.1386628902609991,0.0,0.0,1,2.756,2.6563290360941205,0.1438776390369092,mid,-0.587,-0.591,2.444,2.458,0.7553,bull
ON,2021-12-23,2022-01-19,1,66.76,59.01,11.3776,-0.681,-11.61,6.28,0.368,17,17.042,0.13427285151245968,0.29327306429864014,0.0,0.0,1,4.222,1.3250387298475008,0.3149538040416229,weak,-0.681,-0.692,2.75,2.792,0.7553,bull
PENG,2021-12-23,2022-01-05,1,33.365,30.76,6.1546,-0.423,-7.81,9.4,0.509,8,18.446,0.3063929081772612,0.33238479742237637,0.0,0.0,1,4.591,2.220393993337779,0.24425049425094025,mid,-0.423,-0.628,1.701,2.523,0.7553,bull
SIMO,2021-12-23,2022-01-25,1,92.07,83.51,14.0166,-0.611,-9.3,3.21,0.211,21,15.224,0.4416096519359688,0.28450116872489095,0.0,0.0,11,3.743,3.0984105736868908,0.26909523048745587,mid,-0.611,-0.656,2.484,2.667,0.7553,bull
TTMI,2021-12-23,2022-01-19,1,14.48,14.8,0.8961,0.357,2.21,8.98,1.451,17,6.188,0.13661188516730452,0.2883893432134413,0.382,0.69,25,1.81,1.3180784285117928,0.05836841004726878,weak,0.0,-0.078,0.0,0.267,0.7553,bull
UBER,2021-12-23,2022-01-07,1,43.91,41.51,3.2446,-0.74,-5.47,1.16,0.157,10,7.389,0.04960246128068927,0.051943660617824836,2.491,11.04,48,4.882,2.4592234792109933,0.12582280189824102,mid,-0.74,-0.906,1.12,1.372,0.7553,bull
WDC,2021-12-23,2022-01-20,1,46.2585,45.291,6.3735,-0.152,-2.09,10.49,0.761,18,13.778,0.17169263987126193,0.07803043743922093,0.015,0.05,28,3.376,1.7169898145305362,-0.026126435201189513,mid,-0.152,-0.17,0.62,0.692,0.7553,bull
WEN,2021-12-23,2022-01-20,1,23.33,22.18,1.7879,-0.643,-4.93,3.17,0.414,18,7.664,0.2772468240636668,0.09033774450730853,0.123,0.26,31,2.097,2.9043028388844303,-0.03102126055658949,strong,-0.643,-0.649,2.35,2.371,0.7553,bull
AMT,2021-12-27,2022-01-05,1,285.76,264.57,16.3168,-1.299,-7.42,2.36,0.413,7,5.71,0.3397198875640655,0.13057363073423892,0.981,1.98,42,2.031,2.296219806383927,0.039119109631989835,strong,-1.299,-1.442,3.652,4.055,0.7647,bull
APG,2021-12-27,2022-01-18,1,16.9733,15.76,1.7773,-0.683,-7.15,3.46,0.33,15,10.471,0.0698152053256209,0.21325248148428264,0.787,2.46,29,3.144,2.227718976383295,0.06930801384247487,weak,-0.683,-0.713,2.274,2.374,0.7647,bull
AVTR,2021-12-27,2022-01-05,1,41.96,37.88,4.7962,-0.851,-9.72,0.43,0.038,7,11.43,0.2405063861622635,0.03074026800287993,0.0,0.0,1,2.745,2.116381709708322,0.05739756654106998,mid,-0.851,-0.888,3.542,3.699,0.7647,bull
CIEN,2021-12-27,2022-01-13,1,77.24,72.17,8.3204,-0.609,-6.56,0.47,0.043,13,10.772,0.6143529973928981,0.5097016934697032,0.0,0.0,1,2.572,4.449167976266339,0.26183797566413824,mid,-0.609,-0.624,2.552,2.613,0.7647,bull
CRUS,2021-12-27,2022-01-25,1,93.18,83.94,11.726,-0.788,-9.92,1.2,0.096,20,12.584,0.3678126181414578,0.1880966455814308,0.0,0.0,7,3.048,2.45143886030804,0.18618789728510476,strong,-0.788,-0.892,3.253,3.682,0.7647,bull
DGII,2021-12-27,2022-01-20,1,25.49,22.44,3.4673,-0.88,-11.97,0.0,0.0,17,13.602,0.22834650061650905,0.2106586759393166,0.0,0.0,7,3.316,2.2930998651282968,0.17804067068946128,mid,-0.88,-0.883,3.608,3.62,0.7647,bull
EQIX,2021-12-27,2022-01-05,1,835.11,789.1,42.8616,-1.073,-5.51,1.28,0.25,7,5.132,0.27085480720074867,0.12901896834859805,1.367,2.88,40,2.138,1.4310140827280329,-0.022477368927339425,strong,-1.073,-1.107,2.577,2.658,0.7647,bull
EW,2021-12-27,2022-01-10,1,130.58,120.12,13.8616,-0.755,-8.01,0.08,0.007,10,10.615,0.3444636679973816,0.20499731839429008,0.0,0.0,1,2.53,4.072740276874747,0.13315404730805347,mid,-0.755,-0.928,3.166,3.892,0.7647,bull
EXE,2021-12-27,2022-01-21,1,65.85,63.04,6.7775,-0.415,-4.27,11.03,1.071,18,10.292,0.06373038126473549,0.014588834455548774,1.27,4.53,43,3.672,1.7656071796639479,0.03434076502673444,mid,-0.415,-0.521,1.162,1.46,0.7647,bull
FCX,2021-12-27,2022-01-24,1,41.99,39.96,6.2902,-0.323,-4.83,7.53,0.502,19,14.98,0.20444738813258567,0.17341184788845657,0.064,0.24,29,3.742,2.511549938017782,0.021780457075509574,mid,-0.323,-0.719,1.292,2.877,0.7647,bull
FLEX,2021-12-27,2022-01-07,1,13.7151,13.1575,0.7641,-0.73,-4.07,2.58,0.464,9,5.571,0.05444117970212641,0.024274713001435463,2.402,7.37,26,3.271,1.7295544242683552,0.07710839175650808,mid,-0.73,-0.838,1.243,1.428,0.7647,bull
FN,2021-12-27,2022-01-25,1,122.03,107.69,13.3518,-1.074,-11.75,0.93,0.085,20,10.941,0.14200359485906752,0.20734688723500608,0.388,1.14,29,2.914,1.8733578953403933,0.10356453962736167,weak,-1.074,-1.093,4.033,4.103,0.7647,bull
GSK,2021-12-27,2022-01-20,1,44.09,44.88,2.0239,0.39,1.79,6.19,1.349,17,4.59,0.3744364715013334,0.2933552886478109,0.0,0.0,6,1.208,2.8989779916175586,0.019273567294778804,mid,-0.356,-0.4,1.352,1.521,0.7647,bull
