date,ticker,name,major,sub,benchmark,close,signal,entry_pct,minentry,maxentry,stop,atrpct,dev,selfvol,er22,er55,r0,mult,buf
2026-09-01,AA,Alcoa Corporation,矿业,铝加工,XME,50.9,Wait,,54.589,55.2793,60.717,0.0452,0.2566,-0.1356,0.1776,0.2366,-5.4378,3.5,0.2212
2026-09-01,AAOI,"Applied Optoelectronics, Inc.",科技硬件,光通信,XLK,103.39,Wait,,157.4693,161.3381,139.9649,0.1247,-1.7911,-0.1612,0.0511,0.14,21.3733,4,0.2
2026-09-01,AAPL,Apple Inc.,科技硬件,消费电子,XLK,325.13,Enter,0.9524,322.9513,325.2388,317.2052,0.0235,1.9144,0.0253,0.2266,0.1386,8.0336,3,0.4264
2026-09-01,ABCL,AbCellera Biologics Inc.,医疗健康,生物制药,XBI,11.28,Wait,,12.6645,12.9112,9.2106,0.0729,1.2479,0.321,0.4547,0.2769,3.7006,4,0.2
2026-09-01,ABNB,"Airbnb, Inc.",消费,在线旅游,XLY,182.545,Bad Market,,192.3254,193.9796,171.2017,0.0302,0.4784,0.101,0.3602,0.2946,22.7779,3.5,0.3311
2026-09-01,ABVX,Abivax SA,医疗健康,生物技术,XLV,113.67,Wait,,132.0667,133.3931,129.175,0.0389,-1.6025,-0.2716,0.2801,0.1012,4.2181,3.5,0.2571
2026-09-01,ACGL,Arch Capital Group Ltd.,金融地产,保险,XLF,98.61,Wait,,102.0706,102.6289,100.8967,0.0189,-0.1816,-0.0852,0.1252,0.1117,1.7322,3,0.5
2026-09-01,ACLS,"Axcelis Technologies, Inc.",半导体,半导体,SOXX,110.09,Bad Market,,145.6497,147.9592,160.8061,0.0699,-2.7626,-0.1406,0.2334,0.206,-12.8469,4,0.2
2026-09-01,ACMR,"ACM Research, Inc.",半导体,半导体设备,SOXX,70.04,Bad Market,,86.8047,88.5518,103.5958,0.0831,-1.6835,-0.1219,0.1636,0.0944,-15.044,4,0.2
2026-09-01,ADI,"Analog Devices, Inc.",半导体,半导体,SOXX,354.52,Bad Market,,393.8252,397.4064,403.6993,0.0337,-1.9167,-0.1103,0.1143,0.1531,-6.2929,3.5,0.297
2026-09-01,AEHR,Aehr Test Systems,半导体,半导体材料,SOXX,76.59,Bad Market,,147.8124,151.1161,101.5614,0.1438,-2.7599,0.0246,0.0201,0.0826,49.5547,4,0.2
2026-09-01,AEM,Agnico Eagle Mines Limited,矿业,金,GDX,193.46,Wait,,226.0446,228.5039,195.4186,0.0424,-0.0013,0.0863,0.3836,0.1336,33.0853,3.5,0.236
